propertyManagement,propertyExpenses,rentalGrossProfit,actualRentalIncome,otherPropertyExpenses,rentalNetProfitBeforeInterest,rentalGrossYield,rentalIncomeT+1,rentalIncomeLoss%,rentalIncome,propertyPurchaseValue,LTV,propertyValueT+1,stampDutyTaxBand,stampDutyTax,capitalGains,otherPropertyExpensesT+1,propertyExpensesGrowth,rentalGrowth,capitalGrowth,incomeTax,interestTaxRelief,netProfit,interest,interestRate,borrowing,otherInterestFees
>17%,5-8k,15-20k,25-30k,<3k,<15k,<2%,25-30k,>9%,25-30k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,<40k,<3k,3-5%,<3%,<3%,10-20%,2-3k,-5-5k,10-15k,2,>400k,1-1.5k
>17%,5-8k,20-25k,25-30k,<3k,15-20k,2-3%,30-35k,7-9%,25-30k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,40-80k,<3k,3-5%,7-9%,5-7%,>30%,2-3k,10-15k,10-15k,3,300-400k,<1k
upTo9%,<5k,15-20k,<25k,<3k,15-20k,<2%,<25k,<3%,<25k,1.5-1.75m,20-25%,>1.75m,2,55-900k,80-120k,<3k,5-7%,7-9%,5-7%,<10%,4-5k,-5-5k,20-25k,4,>400k,>1.5k
upTo9%,5-8k,20-25k,25-30k,>5k,15-20k,<2%,30-35k,>9%,30-35k,>1.75m,<20%,>1.75m,2,55-900k,120-160k,>5k,<3%,>9%,7-9%,20-30%,3-4k,-5-5k,15-20k,5,300-400k,1-1.5k
>17%,>9k,20-25k,35-40k,3-5k,20-25k,<2%,40-45k,<3%,35-40k,>1.75m,20-25%,>1.75m,2,55-900k,120-160k,3-5k,<3%,3-5%,7-9%,<10%,>5k,-5-5k,>25k,6,>400k,>1.5k
9-13%,<5k,20-25k,25-30k,<3k,15-20k,2-3%,25-30k,7-9%,25-30k,1-1.25m,25-50%,1-1.25m,1,55-900k,80-120k,<3k,3-5%,3-5%,>9%,>30%,1-2k,10-15k,5-10k,1,>400k,1-1.5k
upTo9%,<5k,>30k,40-45k,<3k,25-30k,2-3%,>45k,5-7%,>45k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,80-120k,3-5k,>9%,7-9%,5-7%,20-30%,>5k,-5-5k,>25k,5,>400k,<1k
upTo9%,8-9k,>30k,>45k,>5k,30-35k,4-5%,>45k,<3%,>45k,1-1.25m,<20%,1.25-1.5m,1,55-900k,40-80k,>5k,>9%,5-7%,7-9%,<10%,<1k,>25k,<5k,2,<200k,1-1.5k
13-17%,8-9k,>30k,40-45k,3-5k,>35k,>5%,>45k,3-5%,>45k,<750k,>65%,750k-1m,0,<55k,40-80k,3-5k,<3%,>9%,7-9%,<10%,3-4k,20-25k,15-20k,4,>400k,<1k
upTo9%,<5k,>30k,40-45k,<3k,25-30k,3-4%,>45k,5-7%,40-45k,1-1.25m,20-25%,1-1.25m,1,55-900k,<40k,<3k,3-5%,5-7%,3-5%,10-20%,3-4k,10-15k,15-20k,5,300-400k,1-1.5k
13-17%,5-8k,20-25k,30-35k,3-5k,15-20k,>5%,30-35k,7-9%,30-35k,<750k,25-50%,<750k,0,<55k,<40k,3-5k,7-9%,7-9%,<3%,<10%,3-4k,-5-5k,15-20k,4,300-400k,<1k
>17%,8-9k,20-25k,30-35k,3-5k,20-25k,2-3%,35-40k,<3%,30-35k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,40-80k,3-5k,7-9%,5-7%,5-7%,<10%,4-5k,5-10k,20-25k,5,300-400k,1-1.5k
13-17%,8-9k,15-20k,<25k,>5k,15-20k,<2%,<25k,3-5%,<25k,1.25-1.5m,<20%,1.5-1.75m,1,55-900k,80-120k,>5k,5-7%,5-7%,5-7%,<10%,<1k,10-15k,<5k,3,<200k,<1k
>17%,>9k,>30k,40-45k,>5k,30-35k,4-5%,>45k,<3%,40-45k,750k-1m,50-65%,750k-1m,1,55-900k,<40k,>5k,5-7%,7-9%,<3%,<10%,2-3k,15-20k,10-15k,3,>400k,<1k
9-13%,5-8k,>30k,>45k,<3k,25-30k,2-3%,>45k,<3%,>45k,>1.75m,20-25%,>1.75m,2,55-900k,40-80k,<3k,<3%,7-9%,3-5%,10-20%,3-4k,10-15k,15-20k,4,300-400k,<1k
9-13%,<5k,10-15k,<25k,<3k,<15k,<2%,25-30k,>9%,25-30k,>1.75m,<20%,>1.75m,2,55-900k,80-120k,<3k,3-5%,7-9%,5-7%,10-20%,1-2k,-5-5k,5-10k,2,200-300k,>1.5k
9-13%,5-8k,15-20k,<25k,3-5k,<15k,<2%,25-30k,<3%,<25k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,80-120k,3-5k,>9%,5-7%,5-7%,>30%,2-3k,-5-5k,10-15k,3,300-400k,1-1.5k
9-13%,5-8k,20-25k,25-30k,<3k,15-20k,<2%,30-35k,>9%,25-30k,>1.75m,<20%,>1.75m,2,55-900k,>160k,<3k,3-5%,>9%,>9%,10-20%,1-2k,5-10k,5-10k,2,300-400k,>1.5k
upTo9%,5-8k,>30k,>45k,<3k,20-25k,2-3%,>45k,5-7%,>45k,>1.75m,<20%,>1.75m,2,55-900k,>160k,<3k,7-9%,<3%,>9%,>30%,1-2k,15-20k,5-10k,2,200-300k,1-1.5k
9-13%,5-8k,20-25k,25-30k,3-5k,20-25k,2-3%,30-35k,3-5%,25-30k,1-1.25m,25-50%,1.25-1.5m,1,55-900k,80-120k,>5k,3-5%,7-9%,7-9%,<10%,1-2k,15-20k,5-10k,2,300-400k,<1k
9-13%,<5k,20-25k,25-30k,<3k,15-20k,3-4%,30-35k,3-5%,25-30k,750k-1m,<20%,750k-1m,1,55-900k,40-80k,<3k,5-7%,7-9%,5-7%,10-20%,<1k,10-15k,<5k,1,<200k,<1k
13-17%,8-9k,20-25k,30-35k,>5k,20-25k,3-4%,30-35k,>9%,35-40k,750k-1m,20-25%,750k-1m,0,55-900k,<40k,>5k,5-7%,<3%,3-5%,10-20%,<1k,20-25k,<5k,1,200-300k,<1k
9-13%,8-9k,15-20k,25-30k,>5k,<15k,2-3%,30-35k,<3%,25-30k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,<40k,>5k,3-5%,7-9%,<3%,10-20%,4-5k,-5-5k,20-25k,5,>400k,1-1.5k
9-13%,5-8k,>30k,35-40k,3-5k,20-25k,4-5%,40-45k,3-5%,40-45k,750k-1m,25-50%,750k-1m,0,<55k,40-80k,3-5k,3-5%,3-5%,>9%,20-30%,2-3k,10-15k,10-15k,3,>400k,<1k
9-13%,5-8k,25-30k,35-40k,<3k,15-20k,2-3%,40-45k,5-7%,40-45k,1.5-1.75m,<20%,1.5-1.75m,2,55-900k,80-120k,<3k,5-7%,5-7%,5-7%,>30%,<1k,10-15k,<5k,1,<200k,<1k
9-13%,8-9k,10-15k,<25k,>5k,<15k,<2%,25-30k,<3%,<25k,>1.75m,20-25%,>1.75m,2,55-900k,120-160k,>5k,7-9%,>9%,7-9%,>30%,3-4k,-5-5k,15-20k,4,>400k,1-1.5k
13-17%,8-9k,10-15k,<25k,3-5k,<15k,2-3%,<25k,3-5%,<25k,750k-1m,20-25%,1-1.25m,0,55-900k,40-80k,3-5k,5-7%,7-9%,7-9%,20-30%,3-4k,-5-5k,15-20k,5,200-300k,<1k
13-17%,5-8k,>30k,35-40k,<3k,15-20k,3-4%,40-45k,5-7%,35-40k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,80-120k,3-5k,3-5%,5-7%,7-9%,>30%,2-3k,5-10k,10-15k,3,>400k,<1k
13-17%,8-9k,10-15k,<25k,>5k,<15k,3-4%,25-30k,5-7%,<25k,<750k,>65%,<750k,0,<55k,40-80k,>5k,7-9%,7-9%,>9%,<10%,3-4k,-5-5k,15-20k,3,>400k,1-1.5k
9-13%,>9k,25-30k,40-45k,>5k,20-25k,>5%,>45k,3-5%,40-45k,<750k,25-50%,<750k,0,<55k,<40k,>5k,3-5%,<3%,<3%,10-20%,1-2k,15-20k,5-10k,3,200-300k,1-1.5k
13-17%,8-9k,15-20k,<25k,>5k,<15k,2-3%,<25k,5-7%,25-30k,750k-1m,20-25%,750k-1m,1,55-900k,40-80k,>5k,3-5%,3-5%,7-9%,20-30%,2-3k,-5-5k,10-15k,4,200-300k,<1k
13-17%,8-9k,15-20k,<25k,>5k,<15k,<2%,<25k,7-9%,<25k,>1.75m,<20%,>1.75m,2,55-900k,<40k,>5k,>9%,<3%,<3%,>30%,1-2k,-5-5k,5-10k,2,300-400k,>1.5k
9-13%,5-8k,25-30k,30-35k,<3k,15-20k,4-5%,35-40k,>9%,35-40k,<750k,50-65%,<750k,0,<55k,<40k,<3k,>9%,7-9%,5-7%,>30%,3-4k,5-10k,15-20k,4,300-400k,1-1.5k
>17%,8-9k,25-30k,35-40k,<3k,20-25k,<2%,40-45k,<3%,35-40k,>1.75m,<20%,>1.75m,2,55-900k,>160k,<3k,5-7%,<3%,>9%,10-20%,1-2k,10-15k,5-10k,6,<200k,>1.5k
13-17%,>9k,>30k,40-45k,3-5k,25-30k,>5%,>45k,>9%,40-45k,750k-1m,25-50%,750k-1m,0,55-900k,40-80k,3-5k,>9%,>9%,7-9%,20-30%,1-2k,20-25k,5-10k,3,300-400k,<1k
13-17%,8-9k,20-25k,30-35k,3-5k,15-20k,3-4%,30-35k,7-9%,35-40k,750k-1m,<20%,750k-1m,0,55-900k,40-80k,3-5k,5-7%,3-5%,5-7%,>30%,1-2k,10-15k,5-10k,4,<200k,1-1.5k
>17%,>9k,>30k,40-45k,>5k,15-20k,4-5%,>45k,7-9%,>45k,750k-1m,20-25%,750k-1m,1,55-900k,40-80k,>5k,3-5%,>9%,7-9%,>30%,2-3k,5-10k,10-15k,5,200-300k,>1.5k
13-17%,5-8k,20-25k,25-30k,<3k,20-25k,3-4%,25-30k,3-5%,25-30k,750k-1m,20-25%,1-1.25m,1,55-900k,<40k,<3k,3-5%,3-5%,3-5%,10-20%,<1k,15-20k,<5k,1,300-400k,1-1.5k
upTo9%,<5k,20-25k,<25k,3-5k,15-20k,<2%,<25k,5-7%,<25k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,<40k,3-5k,3-5%,5-7%,<3%,>30%,1-2k,10-15k,5-10k,3,<200k,>1.5k
9-13%,5-8k,15-20k,<25k,3-5k,<15k,<2%,25-30k,>9%,25-30k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,120-160k,3-5k,>9%,7-9%,7-9%,20-30%,2-3k,-5-5k,10-15k,3,300-400k,<1k
9-13%,8-9k,15-20k,25-30k,>5k,<15k,2-3%,25-30k,5-7%,25-30k,750k-1m,20-25%,750k-1m,1,55-900k,<40k,>5k,<3%,5-7%,3-5%,10-20%,1-2k,5-10k,5-10k,4,<200k,1-1.5k
upTo9%,<5k,15-20k,<25k,<3k,<15k,<2%,25-30k,7-9%,<25k,1.5-1.75m,<20%,1.5-1.75m,2,55-900k,40-80k,3-5k,7-9%,5-7%,5-7%,20-30%,<1k,5-10k,<5k,1,<200k,<1k
>17%,8-9k,<10k,<25k,>5k,<15k,2-3%,25-30k,<3%,<25k,750k-1m,20-25%,750k-1m,0,55-900k,<40k,>5k,<3%,>9%,<3%,10-20%,1-2k,-5-5k,5-10k,2,200-300k,>1.5k
upTo9%,5-8k,>30k,40-45k,3-5k,>35k,3-4%,>45k,7-9%,>45k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,80-120k,3-5k,<3%,5-7%,7-9%,<10%,1-2k,>25k,5-10k,5,<200k,1-1.5k
>17%,>9k,15-20k,25-30k,>5k,15-20k,<2%,30-35k,<3%,25-30k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,<40k,>5k,>9%,>9%,<3%,20-30%,1-2k,10-15k,5-10k,5,<200k,>1.5k
9-13%,5-8k,25-30k,30-35k,<3k,25-30k,3-4%,35-40k,5-7%,30-35k,750k-1m,25-50%,750k-1m,1,55-900k,40-80k,<3k,>9%,>9%,5-7%,<10%,3-4k,10-15k,15-20k,3,>400k,>1.5k
>17%,>9k,>30k,40-45k,3-5k,20-25k,4-5%,>45k,<3%,40-45k,750k-1m,25-50%,750k-1m,0,55-900k,<40k,3-5k,>9%,7-9%,3-5%,>30%,4-5k,5-10k,20-25k,6,300-400k,<1k
9-13%,<5k,15-20k,<25k,<3k,<15k,<2%,<25k,3-5%,<25k,>1.75m,<20%,>1.75m,2,55-900k,>160k,<3k,<3%,7-9%,>9%,20-30%,1-2k,5-10k,5-10k,3,200-300k,>1.5k
>17%,8-9k,25-30k,35-40k,3-5k,20-25k,2-3%,35-40k,5-7%,35-40k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,40-80k,3-5k,7-9%,<3%,3-5%,<10%,1-2k,15-20k,5-10k,1,>400k,>1.5k
>17%,8-9k,15-20k,25-30k,3-5k,<15k,2-3%,25-30k,3-5%,25-30k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,<40k,3-5k,5-7%,<3%,<3%,10-20%,2-3k,-5-5k,10-15k,3,300-400k,1-1.5k
>17%,5-8k,20-25k,25-30k,<3k,15-20k,<2%,30-35k,5-7%,25-30k,1.5-1.75m,<20%,>1.75m,2,55-900k,>160k,<3k,5-7%,>9%,>9%,20-30%,2-3k,-5-5k,10-15k,6,200-300k,<1k
>17%,>9k,>30k,>45k,3-5k,25-30k,2-3%,>45k,7-9%,>45k,>1.75m,20-25%,>1.75m,2,55-900k,>160k,3-5k,<3%,5-7%,>9%,10-20%,4-5k,10-15k,20-25k,4,>400k,>1.5k
9-13%,>9k,>30k,>45k,>5k,25-30k,2-3%,>45k,7-9%,>45k,>1.75m,20-25%,>1.75m,2,55-900k,40-80k,>5k,7-9%,<3%,3-5%,20-30%,>5k,5-10k,>25k,6,>400k,<1k
>17%,8-9k,>30k,>45k,<3k,25-30k,3-4%,>45k,7-9%,>45k,1-1.25m,25-50%,1.25-1.5m,1,55-900k,40-80k,<3k,>9%,7-9%,5-7%,20-30%,>5k,5-10k,>25k,6,>400k,1-1.5k
9-13%,5-8k,25-30k,35-40k,<3k,15-20k,2-3%,>45k,<3%,35-40k,1.5-1.75m,<20%,>1.75m,2,55-900k,<40k,3-5k,>9%,7-9%,<3%,>30%,2-3k,5-10k,10-15k,5,200-300k,<1k
13-17%,5-8k,15-20k,25-30k,3-5k,<15k,3-4%,30-35k,3-5%,30-35k,750k-1m,20-25%,750k-1m,1,55-900k,40-80k,3-5k,3-5%,<3%,5-7%,10-20%,<1k,10-15k,<5k,1,200-300k,>1.5k
>17%,8-9k,>30k,>45k,<3k,25-30k,2-3%,>45k,<3%,>45k,>1.75m,<20%,>1.75m,2,55-900k,120-160k,<3k,7-9%,>9%,7-9%,>30%,1-2k,20-25k,5-10k,4,<200k,1-1.5k
upTo9%,8-9k,>30k,>45k,>5k,30-35k,2-3%,>45k,<3%,>45k,>1.75m,<20%,>1.75m,2,55-900k,120-160k,>5k,7-9%,7-9%,7-9%,<10%,1-2k,20-25k,5-10k,3,200-300k,>1.5k
13-17%,5-8k,20-25k,25-30k,3-5k,20-25k,<2%,30-35k,3-5%,25-30k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,<40k,3-5k,<3%,>9%,<3%,<10%,>5k,-5-5k,>25k,6,300-400k,>1.5k
upTo9%,5-8k,10-15k,<25k,3-5k,<15k,<2%,<25k,<3%,<25k,1.5-1.75m,<20%,>1.75m,2,55-900k,>160k,3-5k,5-7%,5-7%,>9%,20-30%,1-2k,5-10k,5-10k,3,200-300k,1-1.5k
9-13%,8-9k,>30k,40-45k,3-5k,25-30k,2-3%,>45k,7-9%,>45k,1.5-1.75m,<20%,1.5-1.75m,2,55-900k,120-160k,3-5k,7-9%,3-5%,>9%,10-20%,1-2k,20-25k,5-10k,5,<200k,<1k
13-17%,8-9k,20-25k,30-35k,3-5k,15-20k,3-4%,35-40k,<3%,30-35k,750k-1m,20-25%,750k-1m,0,<55k,40-80k,3-5k,3-5%,>9%,7-9%,10-20%,2-3k,5-10k,10-15k,5,200-300k,<1k
>17%,>9k,25-30k,35-40k,3-5k,15-20k,3-4%,40-45k,3-5%,40-45k,750k-1m,<20%,750k-1m,0,<55k,<40k,3-5k,<3%,7-9%,<3%,>30%,1-2k,10-15k,5-10k,2,<200k,>1.5k
9-13%,5-8k,20-25k,25-30k,3-5k,15-20k,<2%,30-35k,>9%,25-30k,>1.75m,<20%,>1.75m,2,55-900k,80-120k,3-5k,3-5%,>9%,5-7%,>30%,<1k,15-20k,<5k,2,<200k,1-1.5k
upTo9%,5-8k,>30k,35-40k,3-5k,20-25k,3-4%,35-40k,>9%,40-45k,1-1.25m,20-25%,1-1.25m,1,55-900k,40-80k,3-5k,7-9%,3-5%,5-7%,>30%,3-4k,10-15k,15-20k,4,300-400k,>1.5k
>17%,>9k,>30k,>45k,>5k,20-25k,2-3%,>45k,7-9%,>45k,>1.75m,<20%,>1.75m,2,55-900k,>160k,>5k,5-7%,5-7%,>9%,10-20%,<1k,20-25k,<5k,1,200-300k,>1.5k
>17%,>9k,25-30k,35-40k,3-5k,20-25k,2-3%,40-45k,5-7%,35-40k,1.25-1.5m,20-25%,1.5-1.75m,1,55-900k,80-120k,3-5k,5-7%,<3%,7-9%,<10%,1-2k,15-20k,5-10k,2,>400k,<1k
>17%,8-9k,20-25k,30-35k,<3k,<15k,2-3%,35-40k,3-5%,35-40k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,80-120k,<3k,7-9%,>9%,7-9%,>30%,4-5k,-5-5k,20-25k,6,300-400k,<1k
>17%,>9k,25-30k,35-40k,3-5k,20-25k,3-4%,40-45k,5-7%,35-40k,1-1.25m,25-50%,1-1.25m,1,55-900k,80-120k,3-5k,5-7%,<3%,7-9%,10-20%,>5k,-5-5k,>25k,6,>400k,<1k
9-13%,5-8k,15-20k,<25k,>5k,<15k,3-4%,<25k,>9%,<25k,<750k,25-50%,<750k,0,<55k,<40k,>5k,>9%,7-9%,3-5%,20-30%,3-4k,-5-5k,15-20k,4,300-400k,<1k
upTo9%,5-8k,25-30k,35-40k,3-5k,20-25k,3-4%,40-45k,5-7%,35-40k,1-1.25m,25-50%,1-1.25m,1,55-900k,<40k,3-5k,5-7%,7-9%,<3%,>30%,4-5k,-5-5k,20-25k,4,>400k,1-1.5k
9-13%,8-9k,20-25k,30-35k,>5k,20-25k,2-3%,35-40k,3-5%,30-35k,1.25-1.5m,25-50%,1.5-1.75m,1,55-900k,40-80k,>5k,3-5%,5-7%,3-5%,<10%,>5k,-5-5k,>25k,6,>400k,>1.5k
9-13%,5-8k,>30k,40-45k,3-5k,20-25k,2-3%,>45k,>9%,>45k,1.5-1.75m,<20%,1.5-1.75m,2,55-900k,40-80k,3-5k,<3%,7-9%,3-5%,>30%,1-2k,15-20k,5-10k,3,200-300k,>1.5k
upTo9%,5-8k,15-20k,<25k,>5k,<15k,<2%,25-30k,7-9%,<25k,>1.75m,20-25%,>1.75m,2,55-900k,120-160k,>5k,3-5%,>9%,>9%,20-30%,1-2k,5-10k,5-10k,1,300-400k,1-1.5k
13-17%,5-8k,15-20k,25-30k,<3k,<15k,3-4%,35-40k,5-7%,30-35k,750k-1m,25-50%,1-1.25m,0,55-900k,40-80k,<3k,3-5%,>9%,7-9%,20-30%,1-2k,5-10k,5-10k,1,300-400k,1-1.5k
upTo9%,<5k,20-25k,25-30k,<3k,20-25k,<2%,30-35k,5-7%,25-30k,1.5-1.75m,<20%,1.5-1.75m,2,55-900k,40-80k,<3k,7-9%,5-7%,3-5%,<10%,1-2k,15-20k,5-10k,4,200-300k,<1k
upTo9%,<5k,25-30k,30-35k,<3k,20-25k,2-3%,35-40k,7-9%,35-40k,1-1.25m,<20%,1.25-1.5m,1,55-900k,80-120k,<3k,>9%,3-5%,>9%,20-30%,1-2k,15-20k,5-10k,2,200-300k,>1.5k
9-13%,5-8k,20-25k,30-35k,<3k,20-25k,2-3%,35-40k,>9%,35-40k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,80-120k,<3k,3-5%,5-7%,7-9%,10-20%,2-3k,10-15k,10-15k,5,200-300k,>1.5k
9-13%,5-8k,20-25k,30-35k,<3k,<15k,2-3%,35-40k,7-9%,30-35k,1.5-1.75m,20-25%,>1.75m,2,55-900k,80-120k,<3k,3-5%,<3%,5-7%,>30%,1-2k,-5-5k,5-10k,2,>400k,1-1.5k
upTo9%,<5k,>30k,35-40k,<3k,30-35k,2-3%,40-45k,<3%,35-40k,>1.75m,<20%,>1.75m,2,55-900k,120-160k,<3k,3-5%,>9%,7-9%,10-20%,2-3k,20-25k,10-15k,6,<200k,<1k
9-13%,5-8k,25-30k,35-40k,<3k,15-20k,3-4%,40-45k,7-9%,40-45k,1-1.25m,<20%,1-1.25m,1,55-900k,40-80k,<3k,7-9%,3-5%,5-7%,20-30%,1-2k,10-15k,5-10k,5,<200k,>1.5k
>17%,8-9k,15-20k,25-30k,>5k,<15k,3-4%,30-35k,3-5%,25-30k,750k-1m,<20%,1-1.25m,1,55-900k,80-120k,>5k,7-9%,>9%,>9%,10-20%,<1k,-5-5k,<5k,2,<200k,<1k
>17%,>9k,25-30k,40-45k,>5k,15-20k,2-3%,>45k,7-9%,>45k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,80-120k,>5k,5-7%,7-9%,7-9%,>30%,2-3k,5-10k,10-15k,4,300-400k,>1.5k
9-13%,<5k,20-25k,25-30k,<3k,15-20k,<2%,25-30k,>9%,25-30k,1.25-1.5m,20-25%,1.5-1.75m,1,55-900k,40-80k,<3k,<3%,3-5%,3-5%,10-20%,>5k,-5-5k,>25k,6,>400k,>1.5k
13-17%,5-8k,25-30k,30-35k,<3k,15-20k,<2%,35-40k,3-5%,35-40k,>1.75m,<20%,>1.75m,2,55-900k,80-120k,<3k,<3%,7-9%,5-7%,>30%,1-2k,5-10k,5-10k,6,<200k,<1k
9-13%,5-8k,20-25k,30-35k,3-5k,15-20k,<2%,35-40k,5-7%,35-40k,1.5-1.75m,<20%,>1.75m,2,55-900k,40-80k,3-5k,>9%,5-7%,3-5%,10-20%,<1k,10-15k,<5k,1,200-300k,1-1.5k
>17%,>9k,>30k,>45k,3-5k,30-35k,2-3%,>45k,7-9%,>45k,1.5-1.75m,<20%,>1.75m,2,55-900k,120-160k,3-5k,>9%,<3%,>9%,<10%,1-2k,>25k,5-10k,4,<200k,1-1.5k
>17%,8-9k,20-25k,30-35k,<3k,20-25k,2-3%,35-40k,<3%,30-35k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,<40k,<3k,7-9%,5-7%,<3%,<10%,<1k,15-20k,<5k,2,<200k,<1k
9-13%,8-9k,25-30k,35-40k,>5k,15-20k,2-3%,40-45k,3-5%,35-40k,1.5-1.75m,20-25%,1.5-1.75m,2,55-900k,120-160k,>5k,3-5%,7-9%,7-9%,>30%,4-5k,-5-5k,20-25k,5,>400k,<1k
upTo9%,5-8k,15-20k,25-30k,3-5k,<15k,3-4%,25-30k,5-7%,30-35k,<750k,25-50%,<750k,0,<55k,<40k,3-5k,<3%,<3%,<3%,>30%,<1k,10-15k,<5k,1,200-300k,>1.5k
9-13%,5-8k,20-25k,25-30k,3-5k,15-20k,<2%,30-35k,3-5%,25-30k,1.25-1.5m,<20%,1.25-1.5m,1,55-900k,40-80k,3-5k,>9%,7-9%,3-5%,>30%,3-4k,-5-5k,15-20k,6,200-300k,1-1.5k
13-17%,8-9k,>30k,>45k,3-5k,25-30k,>5%,>45k,<3%,>45k,750k-1m,25-50%,750k-1m,0,55-900k,<40k,>5k,>9%,7-9%,<3%,10-20%,>5k,-5-5k,>25k,6,>400k,1-1.5k
9-13%,<5k,20-25k,<25k,<3k,15-20k,<2%,25-30k,3-5%,25-30k,>1.75m,<20%,>1.75m,2,55-900k,<40k,<3k,7-9%,7-9%,<3%,20-30%,1-2k,5-10k,5-10k,2,300-400k,1-1.5k
9-13%,>9k,>30k,40-45k,>5k,25-30k,4-5%,>45k,<3%,40-45k,750k-1m,20-25%,750k-1m,1,55-900k,40-80k,>5k,7-9%,3-5%,7-9%,10-20%,1-2k,20-25k,5-10k,3,200-300k,1-1.5k
upTo9%,5-8k,10-15k,<25k,>5k,<15k,<2%,<25k,3-5%,<25k,1-1.25m,20-25%,1-1.25m,1,55-900k,<40k,>5k,<3%,5-7%,<3%,>30%,2-3k,-5-5k,10-15k,5,200-300k,<1k
upTo9%,<5k,>30k,40-45k,<3k,25-30k,3-4%,40-45k,5-7%,>45k,1-1.25m,20-25%,1-1.25m,1,55-900k,40-80k,<3k,<3%,7-9%,7-9%,>30%,1-2k,15-20k,5-10k,2,200-300k,<1k
upTo9%,5-8k,10-15k,<25k,>5k,<15k,3-4%,<25k,7-9%,<25k,<750k,50-65%,<750k,0,<55k,<40k,>5k,3-5%,7-9%,5-7%,20-30%,1-2k,5-10k,5-10k,1,>400k,>1.5k
13-17%,>9k,>30k,>45k,3-5k,30-35k,>5%,>45k,3-5%,>45k,<750k,25-50%,<750k,0,<55k,<40k,3-5k,>9%,>9%,3-5%,<10%,1-2k,>25k,5-10k,3,200-300k,1-1.5k
upTo9%,<5k,20-25k,25-30k,<3k,15-20k,4-5%,30-35k,3-5%,30-35k,<750k,20-25%,<750k,0,<55k,40-80k,<3k,7-9%,7-9%,>9%,10-20%,2-3k,5-10k,10-15k,4,200-300k,1-1.5k
>17%,5-8k,>30k,35-40k,<3k,20-25k,3-4%,40-45k,7-9%,40-45k,1-1.25m,<20%,1-1.25m,1,55-900k,40-80k,<3k,<3%,>9%,3-5%,>30%,1-2k,10-15k,5-10k,5,<200k,>1.5k
>17%,8-9k,10-15k,<25k,>5k,<15k,<2%,25-30k,>9%,<25k,1.25-1.5m,<20%,1.5-1.75m,1,55-900k,120-160k,>5k,3-5%,>9%,>9%,<10%,1-2k,5-10k,5-10k,4,<200k,<1k
13-17%,8-9k,25-30k,35-40k,>5k,20-25k,2-3%,40-45k,7-9%,40-45k,1.25-1.5m,20-25%,1.25-1.5m,1,55-900k,80-120k,>5k,3-5%,>9%,7-9%,10-20%,1-2k,15-20k,5-10k,2,200-300k,1-1.5k
9-13%,5-8k,10-15k,<25k,3-5k,<15k,2-3%,<25k,<3%,<25k,1-1.25m,<20%,1-1.25m,1,55-900k,<40k,>5k,>9%,<3%,3-5%,20-30%,1-2k,5-10k,5-10k,2,<200k,>1.5k
13-17%,5-8k,20-25k,30-35k,<3k,15-20k,4-5%,35-40k,>9%,35-40k,<750k,>65%,<750k,0,<55k,<40k,<3k,3-5%,>9%,<3%,>30%,2-3k,5-10k,10-15k,3,>400k,<1k
>17%,8-9k,10-15k,<25k,>5k,<15k,<2%,<25k,<3%,<25k,>1.75m,<20%,>1.75m,2,55-900k,>160k,>5k,>9%,<3%,>9%,<10%,1-2k,5-10k,5-10k,2,200-300k,>1.5k
upTo9%,5-8k,15-20k,<25k,>5k,<15k,2-3%,<25k,>9%,25-30k,<750k,50-65%,<750k,0,<55k,<40k,>5k,3-5%,7-9%,<3%,20-30%,1-2k,-5-5k,5-10k,2,300-400k,<1k
13-17%,8-9k,>30k,40-45k,<3k,25-30k,3-4%,>45k,5-7%,>45k,1-1.25m,20-25%,1.25-1.5m,1,55-900k,80-120k,3-5k,7-9%,7-9%,>9%,20-30%,4-5k,5-10k,20-25k,6,300-400k,1-1.5k
9-13%,8-9k,>30k,>45k,<3k,30-35k,>5%,>45k,3-5%,>45k,750k-1m,20-25%,750k-1m,0,55-900k,<40k,<3k,7-9%,3-5%,<3%,10-20%,<1k,>25k,<5k,1,<200k,>1.5k
9-13%,8-9k,25-30k,30-35k,>5k,20-25k,<2%,35-40k,<3%,30-35k,1.5-1.75m,<20%,>1.75m,2,55-900k,>160k,>5k,<3%,5-7%,>9%,10-20%,2-3k,10-15k,10-15k,6,<200k,>1.5k
